series,mass,rows,base_error,rc_error,forecast_error,merged_error,top_error,stack_error
HOBBIES_1_036,584.0,1140,585.3396667788561,584.8719762231699,585.0371359656906,584.8719762231699,584.8182547194449,583.4170859484607
HOBBIES_1_038,346.0,1140,345.2784098689091,345.21082846176506,344.86427416240093,345.21082846176506,345.1668972758712,344.5638451446392
HOBBIES_1_041,261.0,1140,265.92190107020303,266.1090665969737,265.9293625629779,266.1090665969737,266.3908187441584,268.7929120973521
HOBBIES_1_044,406.0,1140,411.9754720768934,411.9850123348013,411.7843300233774,411.9850123348013,412.2538567961797,409.454719726568
HOBBIES_1_046,585.0,1140,554.693464972223,555.0549502362801,553.3400134577247,555.0549502362801,555.084499593602,551.8369558905952
HOBBIES_1_047,617.0,1140,623.0029871825748,621.8817108742933,621.3527318311722,621.8817108742933,623.9973646547078,618.0046887480341
HOBBIES_1_048,8442.0,1140,5508.484611680489,5489.558797022542,5490.03460580769,5489.558797022542,5478.910092895559,5527.160670550199
HOBBIES_1_049,439.0,1140,434.9897106094211,434.69894151970516,434.6082036803155,434.69894151970516,434.70683184335655,431.2255740580069
HOBBIES_1_051,241.0,1140,242.2172775176723,242.26448341567135,242.2174743222954,242.26448341567135,242.316086983033,242.22427247864584
HOBBIES_1_052,100.0,1140,100.0,100.0,100.0,100.0,100.0,100.0
HOBBIES_1_054,153.0,1140,154.46457294235998,154.43309035912097,154.2523682703213,154.43309035912097,154.46815063771052,153.35319679518696
HOBBIES_1_056,2221.0,1140,1627.750651397525,1624.097129013433,1628.682472261099,1624.097129013433,1625.9103513029793,1633.9769194334024
HOBBIES_1_058,212.0,1140,212.17410450389207,212.1682603326521,212.2082281185971,212.1682603326521,212.17456765080686,212.5024469811879
HOBBIES_1_061,361.0,1140,359.66602445333626,359.47258002440844,359.37430350508293,359.47258002440844,359.4982696695396,355.7240337033353
HOBBIES_1_063,302.0,1140,302.9122488215472,302.90566719604965,302.8047219837832,302.90566719604965,302.9333874584237,302.1373503568806
HOBBIES_1_064,1570.0,1140,1043.1903062894976,1042.9740299182577,1045.1706755244782,1042.9740299182577,1042.203428962905,1040.4981178904056
HOBBIES_1_065,132.0,1140,132.09722568046845,132.09719145053538,132.00000009457037,132.09719145053538,132.09722568046845,132.0049623786832
HOBBIES_1_066,511.0,1140,516.2548843527418,516.4309488064125,515.348729023309,516.4309488064125,517.0253414617844,516.1757089174282
HOBBIES_1_070,122.0,1140,122.0,122.0,122.0,122.0,122.0,122.0
