series,mass,noq_error
1::110,3.3,1.1839904256835427
1::114,26.7,7.625459647198388
1::117,47.0,11.15884220729681
1::118,18.8,3.2903511738825184
1::121,5.1000000000000005,2.3404112209944388
1::122,39.5,9.422835915524882
1::127,11.9,2.6246104420657117
1::133,5.2,1.1795358102238722
1::136,6.699999999999999,2.51571087896333
1::138,5.7,1.5367727317555848
1::140,5.3,2.290799401181589
1::151,3.5999999999999996,0.9533374372242278
1::16,4.1,1.1520590680976144
1::166,22.6,3.8783840132540437
1::17,4.6,1.3669329980247524
1::18,10.5,4.8507479783208405
1::19,10.8,8.873280727303001
1::190,8.7,7.725704639418302
1::194,12.39,4.342079095489678
1::200,4.7,1.5024699845427008
1::201,6.7,7.411680913262556
1::207,15.7,2.6853200983878764
1::213,6.8,2.5386143860592423
1::214,4.7,1.5007955222461802
1::215,44.6,14.227766544092162
1::216,5.9,2.664456197313456
1::219,3.9,1.3547189058842677
1::220,5.4,1.9612561669526634
1::23,7.27,3.044220661152062
1::247,4.45,1.2201659590739657
1::249,3.5,0.9381437499893098
1::250,7.37,3.506196811840175
1::258,4.8,1.9672217679769304
1::259,4.4,1.8267203957686482
1::26,8.8,2.3950664169242604
1::27,2.0,0.504278731612406
1::285,4.58,1.1704716572578155
1::290,16.8,3.333672834208577
1::291,9.4,1.848760977859604
1::292,19.1,3.463415791565098
1::293,4.6000000000000005,2.1985918017871957
1::295,4.44,2.1093373211409587
1::296,13.3,3.8352309759395835
1::300,89.3,19.60390324159331
1::304,2.7,1.6932467293808215
1::321,8.0,2.3461259640651857
1::345,7.1,1.7535010776411672
1::362,9.3,4.100492843473556
1::366,4.7,2.7106122600631375
1::368,4.08,1.164282356209529
1::370,11.8,3.386060015508928
1::373,1.5,1.8538304545643565
1::374,4.3,1.4541792686394823
1::379,3.9,3.57011561146165
1::38,9.700000000000001,7.728204514798196
1::381,10.0,4.507086646099213
1::4,10.2,2.475634953500959
1::411,5.7,2.278222436943948
1::415,10.5,3.767146943652887
1::422,7.300000000000001,1.5687380119382333
1::424,2.38,1.6311601737107155
1::439,10.1,4.823261104780517
1::452,7.9,1.9724611749651624
1::470,2.6,0.4657135543283969
1::486,23.1,3.872694390492925
1::487,8.299999999999999,4.378088873863421
1::489,12.2,3.1015408123321255
1::496,6.9,2.1187404116512756
1::499,2.98,1.1619469268766598
1::500,4.4,2.437566983997191
1::554,11.6,3.639017966399836
1::556,1.8,1.010029901308217
1::563,2.8,1.5964182318232163
1::578,12.9,3.2107241694493727
1::58,3.87,1.629356892719405
1::592,2.8,0.8882695627070839
1::596,8.8,2.661905351869106
1::6,14.8,3.7268057991616828
1::60,4.9,1.632428585143059
1::62,4.6,1.1838015727129454
1::622,2.8,0.967656597049011
1::627,2.3,0.751275259668539
