population,category,bin,multiplier,relative_to_base_multiplier,rows,row_share,demand_mass,demand_share,mean_risk,strict_row_share,raw_wape,raw_mae,raw_rmse,raw_bias,raw_rows,raw_demand_mass,raw_absolute_error_mass,raw_squared_error_mass,raw_prediction_mass,base_wape,base_mae,base_rmse,base_bias,base_rows,base_demand_mass,base_absolute_error_mass,base_squared_error_mass,base_prediction_mass,rc_wape,rc_mae,rc_rmse,rc_bias,rc_rows,rc_demand_mass,rc_absolute_error_mass,rc_squared_error_mass,rc_prediction_mass,floor_0_5_wape,floor_0_5_mae,floor_0_5_rmse,floor_0_5_bias,floor_0_5_rows,floor_0_5_demand_mass,floor_0_5_absolute_error_mass,floor_0_5_squared_error_mass,floor_0_5_prediction_mass,calibrated_wape,delta_absolute_error_mass,pooled_wape_delta_contribution
point_validation,HOUSEHOLD,5,1.0073664238025897,0.9739683712856783,90105,0.042106517502908974,78692.0,0.031673071690652636,0.28860631585121155,0.09495588480106543,0.7818813127842515,0.6828456163988494,1.3187754176679205,-0.3583983665352365,90105,78692.0,61527.804265618324,156707.7869053036,50488.9140625,0.7827759966360799,0.6836269766082503,1.3166929874027682,-0.3363974005068365,90105,78692.0,61598.2087272864,156213.27452122932,52220.21575931602,0.7819293456573237,0.6828875652679222,1.3182093917498299,-0.35367205699070126,90105,78692.0,61531.58406846612,156573.29602482333,50860.83849128774,0.7819293456573237,0.6828875652679222,1.3182093917498299,-0.35367205699070126,90105,78692.0,61531.58406846612,156573.29602482333,50860.83849128774,0.7819293456573237,-66.62465882027755,-2.6816037147104195e-05
point_validation,HOUSEHOLD,6,1.006778578525888,0.9734000153298029,82202,0.03841340604599216,90390.0,0.03638144856043933,0.3450116515159607,0.12503345417386438,0.752650920522333,0.827621185689079,1.8103631972033938,-0.3604999808389959,82202,90390.0,68032.11670601368,269410.0600856258,57804.40625,0.7536522676611864,0.8287222752961563,1.8065999764887362,-0.33857108062603364,82202,90390.0,68122.62847389464,268291.1732559863,59786.56002221282,0.7527071217087552,0.8276829849791293,1.8095065643027053,-0.35616507974180617,82202,90390.0,68037.19673125439,269155.159942139,58196.23844213814,0.7527071217087552,0.8276829849791293,1.8095065643027053,-0.35616507974180617,82202,90390.0,68037.19673125439,269155.159942139,58196.23844213814,0.7527071217087552,-85.43174264025583,-3.4385778850483006e-05
point_validation,HOUSEHOLD,7,1.004529712802606,0.9712257081124974,74703,0.03490908581121813,109278.0,0.043983758555013706,0.4084104597568512,0.17059555841130877,0.7069450611676681,1.034142435970181,2.0762820608623667,-0.3282185280852542,74703,109278.0,77253.54239428043,322040.6884021269,73410.9375,0.707720931019637,1.0352774038521062,2.0694427614421045,-0.30518267441653596,74703,109278.0,77338.32789996389,319922.5704935473,75928.24770510978,0.7069843677603167,1.0341999349438695,2.07526847505703,-0.3251755509513684,74703,109278.0,77257.83774011189,321726.3417120759,73743.46614313635,0.7069843677603167,1.0341999349438695,2.07526847505703,-0.3251755509513684,74703,109278.0,77257.83774011189,321726.3417120759,73743.46614313635,0.7069843677603167,-80.49015985199367,-3.239682055843397e-05
point_validation,HOUSEHOLD,8,1.1124982261185767,1.0756146519761849,70062,0.032740323281602667,200555.0,0.08072221944948457,0.52784663438797,0.3080129028574691,0.5921727740700126,1.6951159073907593,2.917288667052198,-0.2797817156899796,70062,200555.0,118763.21070361137,596267.7772201317,144443.375,0.5886778734098514,1.6851116282965481,2.8875691686702907,-0.25508493005280963,70062,200555.0,118062.29090171275,584180.8587235053,149396.44185325876,0.5845631395240368,1.6733330542554194,2.8342687084434806,-0.19875843628693754,70062,200555.0,117237.0604472432,562813.5887212543,160693.00181047324,0.5845631395240368,1.6733330542554194,2.8342687084434806,-0.19875843628693754,70062,200555.0,117237.0604472432,562813.5887212543,160693.00181047324,0.5845631395240368,-825.2304544695508,-0.000332150451706958
later,FOODS,1,1.0130045699531666e-06,9.619794313407579e-07,55687,0.02670762472063154,5819.0,0.0019945842188249813,0.013532002456486225,0.018927218201734694,1.000009729088244,0.10449578202389231,1.0230433636836227,-0.9999902709117561,55687,5819.0,5819.056613564491,58283.00119511284,0.05661356449127197,1.000010245136779,0.1044958359482629,1.0230433648258361,-0.9999897548632212,55687,5819.0,5819.059616450916,58283.00132525713,0.05961645091627958,1.0000000000098557,0.10449476538612872,1.0230433531946959,-0.9999999999901443,55687,5819.0,5819.00000005735,58283.0,5.734979955099683e-08,1.000004864544122,0.10449527370449559,1.0230433558169276,-0.999995135455878,55687,5819.0,5819.028306782246,58283.00029877821,0.028306782245635986,1.0000000000098557,-0.05961639356610249,-2.0434768480874232e-08
later,FOODS,2,0.7586171919278362,0.7204055702629272,58550,0.028080726693716248,11760.0,0.0040309864948241585,0.062270503491163254,0.025772843723313406,0.8315660357272544,0.16702334039543146,1.480453465596016,-0.7765842074236903,58550,11760.0,9779.216580152512,128326.52125521214,2627.36962890625,0.833946410314475,0.16750144808365885,1.4815156300456003,-0.7647338274540074,58550,11760.0,9807.209785298226,128510.72530916409,2766.730189140873,0.8479251290895468,0.17030912925863484,1.508061823825869,-0.830512938803428,58550,11760.0,9971.59951809307,133157.36469536292,1993.1678396716868,0.8479251290895468,0.17030912925863484,1.508061823825869,-0.830512938803428,58550,11760.0,9971.59951809307,133157.36469536292,1993.1678396716868,0.8479251290895468,164.38973279484344,5.634802659725901e-05
later,FOODS,3,0.9726702445328994,0.9236767498108062,63417,0.030414952087709706,44711.0,0.015325632412422019,0.1572529822587967,0.056357128214831985,0.610683346570014,0.43055116307128843,1.731166735846356,-0.42121024198003765,63417,44711.0,27304.263108491898,190056.83409742286,25878.26953125,0.6141365100198649,0.43298575302360853,1.7339192119117626,-0.39051018055642717,63417,44711.0,27458.657499498182,190661.6779290557,27250.899317141586,0.6101541913327473,0.4301780918157349,1.7346927801345329,-0.4370284245335855,63417,44711.0,27280.604048678462,190831.83893169014,25171.022110678856,0.6101541913327473,0.4301780918157349,1.7346927801345329,-0.4370284245335855,63417,44711.0,27280.604048678462,190831.83893169014,25171.022110678856,0.6101541913327473,-178.05345081971973,-6.103155234788501e-05
later,FOODS,4,1.0131224170815856,0.9620913424978682,107804,0.051703068496829825,124375.0,0.042632138205251253,0.22977623343467712,0.08942154279989611,0.6538856507737433,0.7543971264051827,1.6578316193073857,-0.2593938592872428,107804,124375.0,81327.02781498432,296289.12570845446,92112.890625,0.6560212606360619,0.7568610097177303,1.653562712310721,-0.22011076262643323,107804,124375.0,81592.6442916102,294765.2046526593,96998.72389833737,0.6540858610774183,0.7546281118650876,1.6557543148378515,-0.24967531661562653,107804,124375.0,81351.9289715039,295547.0755384332,93321.63249593145,0.6540858610774183,0.7546281118650876,1.6557543148378515,-0.24967531661562653,107804,124375.0,81351.9289715039,295547.0755384332,93321.63249593145,0.6540858610774183,-240.71532010629016,-8.251022146647363e-05
later,FOODS,5,1.005911110138697,0.955243269786346,144463,0.06928481674388268,193896.0,0.06646191814629465,0.29030463099479675,0.12549234059932302,0.68947310627611,0.9254001191620874,1.7623132220497109,-0.27679611289811545,144463,193896.0,133686.07741451263,448665.65781029663,140226.34375,0.6907565410696036,0.9271227254537969,1.7526035257759667,-0.23843606341870507,144463,193896.0,133934.93028723187,443735.3127248727,147664.20104736678,0.6894324804339474,0.9253455917862753,1.7608191437067975,-0.27252117506872237,144463,193896.0,133678.20022622068,447905.22830390383,141055.23423887498,0.6894324804339474,0.9253455917862753,1.7608191437067975,-0.27252117506872237,144463,193896.0,133678.20022622068,447905.22830390383,141055.23423887498,0.6894324804339474,-256.73006101118517,-8.799960958771e-05
later,FOODS,6,1.001920427219054,0.9514535979531016,170155,0.08160676431373677,260775.0,0.08938609720984438,0.3460441827774048,0.16030677911316152,0.6912389249612382,1.059374280254867,1.9143253352947487,-0.30417502753424425,170155,260775.0,180257.8306567669,623557.0726205793,181453.765625,0.6929336555836833,1.0619715790592987,1.9028925571899915,-0.2672672054817952,170155,260775.0,180699.774034835,616131.2693285935,191078.39449048485,0.6912366737364233,1.0593708300879539,1.9137784906823945,-0.30283874631742347,170155,260775.0,180257.24359361577,623200.873895026,181802.22592907393,0.6912366737364233,1.0593708300879539,1.9137784906823945,-0.30283874631742347,170155,260775.0,180257.24359361577,623200.873895026,181802.22592907393,0.6912366737364233,-442.53044121921994,-0.0001516865843625214
