series,mass,noq_error
FOODS_2_189,2051.0,1456.8837868915455
FOODS_2_191,669.0,605.0448196995351
FOODS_2_193,759.0,690.9103146265862
FOODS_2_194,3213.0,2125.074251009858
FOODS_2_196,1308.0,953.5372480610118
FOODS_2_197,7598.0,3127.5380652079625
FOODS_2_198,1948.0,1372.7699128604245
FOODS_2_200,566.0,555.9015076305293
FOODS_2_201,2429.0,1394.4051878775008
FOODS_2_203,715.0,646.8387328075113
FOODS_2_204,5780.0,3812.199018618321
FOODS_2_205,394.0,392.62884858778926
FOODS_2_206,1105.0,904.9430780545501
FOODS_2_208,1529.0,1132.4044119345517
FOODS_2_209,929.0,784.0270869540934
FOODS_2_210,1148.0,892.7769909780448
FOODS_2_213,303.0,307.44378555416745
FOODS_2_215,1904.0,1426.4651648919591
FOODS_2_217,1670.0,1232.3593705136807
FOODS_2_218,805.0,656.6339180895189
FOODS_2_220,1581.0,1208.5696269237092
FOODS_2_225,1500.0,1205.786501978877
FOODS_2_227,1124.0,990.7618205931442
FOODS_2_229,391.0,277.2130758769471
FOODS_2_231,988.0,831.8332711749415
FOODS_2_233,3819.0,1956.4282574250726
FOODS_2_234,548.0,540.4462336291906
FOODS_2_235,824.0,743.4213674663669
FOODS_2_236,1852.0,1301.6073768772014
FOODS_2_237,912.0,847.504740525745
FOODS_2_238,1637.0,1363.0045505112087
FOODS_2_242,2317.0,1563.5999903850245
FOODS_2_244,4467.0,2016.052918976886
FOODS_2_245,1289.0,1146.0849783572464
FOODS_2_248,1026.0,947.0783396469378
FOODS_2_251,1854.0,1284.9987448502964
FOODS_2_252,192.0,192.4117441593211
FOODS_2_253,1227.0,1025.453947933194
FOODS_2_255,989.0,1065.7992055982404
FOODS_2_257,2776.0,2084.1826085556067
FOODS_2_259,351.0,351.1879837303948
FOODS_2_260,744.0,631.8767176325435
FOODS_2_269,385.0,387.9652802716157
FOODS_2_270,307.0,304.4835144151536
FOODS_2_271,346.0,342.8080120379345
FOODS_2_272,2628.0,1800.9148866531104
FOODS_2_274,2701.0,1617.0634354957638
FOODS_2_275,1552.0,1384.444572267571
FOODS_2_276,7115.0,3189.7414895188576
FOODS_2_277,1082.0,1026.0120461350639
FOODS_2_278,1124.0,1050.0639865547382
FOODS_2_279,1466.0,1283.5265076732692
FOODS_2_280,693.0,685.0847629878336
FOODS_2_281,233.0,233.18821184815147
FOODS_2_282,2661.0,1808.8246794303068
FOODS_2_283,1445.0,1327.579153651732
FOODS_2_284,526.0,531.7687771160272
FOODS_2_286,2764.0,1723.3033177232774
FOODS_2_288,934.0,775.4595629738884
FOODS_2_289,2595.0,1784.3666016086984
FOODS_2_292,358.0,288.1064553488369
FOODS_2_294,4485.0,2720.7210876315758
FOODS_2_295,375.0,372.4356598296979
FOODS_2_296,797.0,751.6828008236441
FOODS_2_297,1561.0,1199.9543519516683
FOODS_2_298,271.0,272.6473747273883
FOODS_2_303,385.0,328.7918470538522
FOODS_2_304,1935.0,1189.70048164858
FOODS_2_305,233.0,234.88171334752468
FOODS_2_306,1078.0,985.6934257399847
FOODS_2_307,2278.0,1667.7288553621433
FOODS_2_312,943.0,820.3021745992161
FOODS_2_314,898.0,780.1129666645328
FOODS_2_315,4212.0,2732.3503579436947
FOODS_2_319,341.0,343.5596462916547
FOODS_2_322,3490.0,1919.5355556575637
FOODS_2_327,1738.0,1454.6241843967446
FOODS_2_329,544.0,543.1618042052179
FOODS_2_331,606.0,579.5392187579716
FOODS_2_333,1795.0,1187.3609010163473
FOODS_2_334,1982.0,1375.1972919727998
FOODS_2_337,453.0,453.33190957801884
FOODS_2_338,1837.0,1183.8772820831828
FOODS_2_340,1058.0,1029.1449706781063
FOODS_2_342,3849.0,1991.936666276667
FOODS_2_345,781.0,746.5432911677128
FOODS_2_347,10032.0,4167.933035490281
FOODS_2_348,1176.0,945.5941091202192
FOODS_2_350,170.0,177.21477376950534
FOODS_2_351,1219.0,1094.8678125316662
FOODS_2_352,3493.0,2150.3013486823315
FOODS_2_353,934.0,883.6790178673853
FOODS_2_354,256.0,260.52287436268296
FOODS_2_358,341.0,325.93747500732843
FOODS_2_359,1938.0,1431.049564314237
FOODS_2_360,9149.0,7203.534428786633
FOODS_2_361,1042.0,760.1543600781869
FOODS_2_362,362.0,365.59926278868255
FOODS_2_363,406.0,389.33606614476486
FOODS_2_364,3736.0,2037.3401535408007
FOODS_2_366,480.0,452.05925758917596
FOODS_2_367,1152.0,997.335748228252
FOODS_2_368,5402.0,2656.8831249711434
FOODS_2_370,1580.0,1080.593864984532
FOODS_2_371,8365.0,3416.3235087342714
FOODS_2_373,901.0,817.3973742868012
FOODS_2_376,1224.0,1065.6155595611972
FOODS_2_378,803.0,715.6254232872664
FOODS_2_379,784.0,720.7475150543186
FOODS_2_381,2886.0,1942.1947910449333
FOODS_2_382,1010.0,870.7898561150525
FOODS_2_384,2160.0,1481.1540173725803
FOODS_2_387,654.0,535.2061806894943
FOODS_2_388,2094.0,1655.8432188811882
FOODS_2_389,107.0,107.44088634697935
FOODS_2_391,2093.0,1540.149807080737
FOODS_2_392,716.0,675.0553342430321
